idx,Cond,ttype,choice,response,acc,rt,ssd
29,bsl,stop,stop,0,1,0.6516841,250
29,bsl,go,go,1,1,0.5185656,1000
29,bsl,go,go,1,1,0.5451508,1000
29,bsl,stop,stop,0,1,0.6516773,250
29,bsl,stop,go,1,0,0.5847942,400
29,bsl,stop,stop,0,1,0.6517531,350
29,bsl,go,go,1,1,0.5585143,1000
29,bsl,go,go,1,1,0.5583268,1000
29,bsl,go,go,1,1,0.6383631,1000
29,bsl,go,go,1,1,0.5582611,1000
29,bsl,stop,go,1,0,0.5184853,400
29,bsl,go,go,1,1,0.5318029,1000
29,bsl,stop,stop,0,1,0.65177,300
29,bsl,go,go,1,1,0.4918182,1000
29,bsl,stop,stop,0,1,0.6517792,300
29,bsl,go,go,1,1,0.5584299,1000
29,bsl,stop,stop,0,1,0.6517808,300
29,bsl,stop,stop,0,1,0.6518787,200
29,bsl,go,go,1,1,0.5184092,1000
29,bsl,go,go,1,1,0.5317885,1000
29,bsl,go,go,1,1,0.5451039,1000
29,bsl,stop,stop,0,1,0.6517446,200
29,bsl,stop,go,1,0,0.5585566,400
29,bsl,stop,stop,0,1,0.6515983,350
29,bsl,go,go,1,1,0.5719913,1000
29,bsl,go,go,1,1,0.5717723,1000
29,bsl,stop,stop,0,1,0.6519455,250
29,bsl,go,go,1,1,0.5451754,1000
29,bsl,go,go,1,1,0.5851432,1000
29,bsl,stop,stop,0,1,0.6517175,350
29,bsl,go,go,1,1,0.532113,1000
29,bsl,go,go,1,1,0.5583463,1000
29,bsl,stop,go,1,0,0.5450971,400
29,bsl,stop,stop,0,1,0.6517763,250
29,bsl,go,go,1,1,0.5601873,1000
29,bsl,go,go,1,1,0.5585211,1000
29,bsl,stop,stop,0,1,0.651857,300
29,bsl,go,go,1,1,0.57175,1000
29,bsl,stop,stop,0,1,0.6516403,300
29,bsl,stop,stop,0,1,0.6517827,250
29,bsl,stop,stop,0,1,0.6517219,350
29,bsl,go,go,1,1,0.5716876,1000
29,bsl,go,go,1,1,0.5602197,1000
29,bsl,stop,go,1,0,0.5584242,400
29,bsl,stop,stop,0,1,0.6534356,250
29,bsl,go,go,1,1,0.5717365,1000
29,bsl,go,go,1,1,0.6130455,1000
29,bsl,stop,stop,0,1,0.6516667,200
29,bsl,go,go,1,1,0.5451286,1000
29,bsl,stop,stop,0,1,0.6516772,350
29,bsl,stop,stop,0,1,0.6517821,200
29,bsl,go,go,1,1,0.558366,1000
29,bsl,stop,go,1,0,0.5850772,400
29,bsl,go,go,1,1,0.6250958,1000
29,bsl,go,go,1,1,0.571692,1000
29,bsl,go,go,1,1,0.5717635,1000
29,bsl,stop,go,1,0,0.5584909,400
29,bsl,stop,stop,0,1,0.6517445,300
29,bsl,go,go,1,1,0.5584055,1000
29,bsl,go,go,1,1,0.5584773,1000
29,bsl,stop,stop,0,1,0.6517127,250
29,bsl,go,go,1,1,0.585023,1000
29,bsl,go,go,1,1,0.5450768,1000
29,bsl,stop,stop,0,1,0.6516515,250
29,bsl,stop,stop,0,1,0.6515547,200
29,bsl,stop,stop,0,1,0.6516768,350
29,bsl,go,go,1,1,0.5983638,1000
29,bsl,go,go,1,1,0.5985212,1000
29,bsl,stop,stop,0,1,0.6517634,300
29,bsl,stop,stop,0,1,0.6517802,350
29,bsl,stop,stop,0,1,0.651681,200
29,bsl,go,go,1,1,0.5584993,1000
29,bsl,go,go,1,1,0.5585336,1000
29,bsl,go,go,1,1,0.5451496,1000
29,bsl,go,go,1,1,0.5849834,1000
29,bsl,stop,go,1,0,0.5717011,400
29,bsl,go,go,1,1,0.5202653,1000
29,bsl,stop,go,1,0,0.5184592,400
29,bsl,go,go,1,1,0.5983827,1000
29,bsl,stop,stop,0,1,0.65177,200
29,bsl,go,go,1,1,0.584948,1000
29,bsl,stop,stop,0,1,0.65175,250
29,bsl,go,go,1,1,0.5450061,1000
29,bsl,stop,stop,0,1,0.6510167,300
29,bsl,go,go,1,1,0.5583969,1000
29,bsl,stop,stop,0,1,0.6630768,300
29,bsl,go,go,1,1,0.5851257,1000
29,bsl,stop,stop,0,1,0.6515779,350
29,bsl,go,go,1,1,0.5717629,1000
29,bsl,go,go,1,1,0.5450924,1000
29,bsl,stop,stop,0,1,0.6517765,350
29,bsl,go,go,1,1,0.5584979,1000
29,bsl,stop,stop,0,1,0.6535758,250
29,bsl,stop,stop,0,1,0.6517914,200
29,bsl,go,go,1,1,0.5984726,1000
29,bsl,stop,go,1,0,0.5584158,400
29,bsl,go,go,1,1,0.5451675,1000
29,bsl,go,go,1,1,0.5201817,1000
29,bsl,stop,go,1,0,0.5449802,400
29,bsl,go,go,1,1,0.5583747,1000
29,bsl,go,go,1,1,0.5852085,1000
29,bsl,go,go,1,1,0.5719233,1000
29,bsl,stop,stop,0,1,0.651552,300
29,bsl,stop,stop,0,1,0.6517692,250
29,bsl,stop,stop,0,1,0.6517071,200
29,bsl,go,go,1,1,0.558597,1000
29,bsl,stop,stop,0,1,0.6505725,200
29,bsl,go,go,1,1,0.5317206,1000
29,bsl,go,go,1,1,0.5846638,1000
29,bsl,stop,go,1,0,0.545061,400
29,bsl,go,go,1,1,0.585078,1000
29,bsl,go,go,1,1,0.5853565,1000
29,bsl,stop,stop,0,1,0.6517451,350
29,bsl,go,go,1,1,0.5849063,1000
29,bsl,stop,stop,0,1,0.6517273,350
29,bsl,go,go,1,1,0.5583973,1000
29,bsl,stop,stop,0,1,0.6527353,300
29,bsl,stop,stop,0,1,0.652573,250
