idx,Cond,pGo,pGo_split,ttype,response,acc,choice,rt
1,pnl,0.6,1,go,1,1,go,0.5451393
1,pnl,0.0,2,go,0,0,stop,0.5451714
1,pnl,0.4,2,go,0,0,stop,0.5452486999999999
1,pnl,0.2,2,go,1,1,go,0.5451786999999999
1,pnl,0.8,1,go,1,1,go,0.5319321
1,pnl,0.8,1,go,1,1,go,0.4784616
1,pnl,1.0,1,go,1,1,go,0.4918634
1,pnl,0.0,2,go,0,0,stop,0.5451678000000001
1,pnl,1.0,1,go,1,1,go,0.5184835
1,pnl,0.8,1,go,1,1,go,0.5185465
1,pnl,0.4,2,go,1,1,go,0.5451779999999999
1,pnl,0.6,1,go,1,1,go,0.5469044
1,pnl,0.8,1,go,1,1,go,0.5452816999999999
1,pnl,0.6,1,go,1,1,go,0.5451273
1,pnl,0.0,2,go,0,0,stop,0.5451562
1,pnl,0.2,2,go,1,1,go,0.5450404999999999
1,pnl,0.2,2,go,0,0,stop,0.5451299
1,pnl,0.0,2,go,0,0,stop,0.5583085
1,pnl,0.4,2,go,1,1,go,0.5452946
1,pnl,0.4,2,go,0,0,stop,0.5450961999999999
1,pnl,0.0,2,go,0,0,stop,0.5451292
1,pnl,0.2,2,go,0,0,stop,0.5451455
1,pnl,0.0,2,go,0,0,stop,0.5574857
1,pnl,0.6,1,go,0,0,stop,0.5450762
1,pnl,1.0,1,go,1,1,go,0.5451590000000001
1,pnl,0.4,2,go,0,0,stop,0.5452615
1,pnl,0.6,1,go,1,1,go,0.5582934
1,pnl,1.0,1,go,1,1,go,0.5308045
1,pnl,0.8,1,go,1,1,go,0.5450089
1,pnl,0.8,1,go,1,1,go,0.5318425
1,pnl,1.0,1,go,1,1,go,0.5184507
1,pnl,1.0,1,go,1,1,go,0.5050293
1,pnl,0.2,2,go,0,0,stop,0.5451090999999999
1,pnl,1.0,1,go,1,1,go,0.5201960999999999
1,pnl,0.4,2,go,0,0,stop,0.545175
1,pnl,0.8,1,go,1,1,go,0.5186274000000001
1,pnl,0.4,2,go,0,0,stop,0.545201
1,pnl,0.2,2,go,0,0,stop,0.5450835
1,pnl,0.6,1,go,1,1,go,0.5574023
1,pnl,0.8,1,go,1,1,go,0.5451776999999999
1,pnl,0.0,2,go,0,0,stop,0.5450441
1,pnl,0.2,2,go,1,1,go,0.5470060999999999
1,pnl,0.6,1,go,0,0,stop,0.5458718000000001
1,pnl,1.0,1,go,1,1,go,0.5451144
1,pnl,0.2,2,go,0,0,stop,0.5452646
1,pnl,0.8,1,go,1,1,go,0.5318559
1,pnl,0.0,2,go,0,0,stop,0.5452382
1,pnl,1.0,1,go,1,1,go,0.505165
1,pnl,0.4,2,go,0,0,stop,0.5451585
1,pnl,1.0,1,go,1,1,go,0.5051456
1,pnl,0.4,2,go,0,0,stop,0.5452193000000001
1,pnl,0.2,2,go,0,0,stop,0.5451957
1,pnl,1.0,1,go,1,1,go,0.5318129
1,pnl,0.6,1,go,1,1,go,0.5451024
1,pnl,0.6,1,go,1,1,go,0.5451764
1,pnl,0.0,2,go,0,0,stop,0.5451913
1,pnl,0.8,1,go,1,1,go,0.5052234
1,pnl,0.0,2,go,0,0,stop,0.5452029
1,pnl,1.0,1,go,1,1,go,0.5185552
