idx,pGo,Cond,response,choice,rt,HL
1,1.0,pnl,1,go,0.5184779,1
1,0.6,pnl,1,go,0.5451069,1
1,1.0,pnl,1,go,0.5319014,1
1,0.8,pnl,1,go,0.5318279,1
1,1.0,pnl,1,go,0.4918027,1
1,0.4,pnl,1,go,0.5450783,2
1,0.0,pnl,0,stop,0.5451362,2
1,0.0,pnl,0,stop,0.5450994,2
1,0.2,pnl,0,stop,0.545221,2
1,0.4,pnl,1,go,0.5451688,2
1,0.6,pnl,1,go,0.5451163,1
1,1.0,pnl,1,go,0.5451985,1
1,0.2,pnl,0,stop,0.5451365,2
1,0.0,pnl,0,stop,0.5452979,2
1,0.4,pnl,0,stop,0.5451392,2
1,0.0,pnl,0,stop,0.5582242,2
1,0.6,pnl,1,go,0.5452679,1
1,0.2,pnl,1,go,0.5451566,2
1,0.8,pnl,1,go,0.5329975,1
1,0.4,pnl,0,stop,0.5455045,2
1,0.2,pnl,1,go,0.546179,2
1,0.8,pnl,1,go,0.5186734,1
1,0.8,pnl,1,go,0.5452044,1
1,0.6,pnl,1,go,0.5453026,1
1,1.0,pnl,1,go,0.5185152,1
1,1.0,pnl,1,go,0.4907598,1
1,0.2,pnl,0,stop,0.5450095,2
1,0.0,pnl,0,stop,0.5453197,2
1,0.8,pnl,1,go,0.5051312,1
1,0.6,pnl,1,go,0.5451621,1
1,0.2,pnl,0,stop,0.5451204,2
1,0.0,pnl,0,stop,0.5451407,2
1,0.6,pnl,0,stop,0.5451983,1
1,0.8,pnl,1,go,0.5052241,1
1,0.2,pnl,0,stop,0.5452815,2
1,0.4,pnl,0,stop,0.558351,2
1,0.4,pnl,1,go,0.545112,2
1,1.0,pnl,1,go,0.5317467,1
1,0.6,pnl,1,go,0.5451378,1
1,0.8,pnl,1,go,0.53182,1
1,1.0,pnl,1,go,0.5052756,1
1,0.4,pnl,0,stop,0.5452088,2
1,1.0,pnl,1,go,0.5185845,1
1,0.2,pnl,0,stop,0.5451812,2
1,0.8,pnl,1,go,0.5051699,1
1,0.4,pnl,0,stop,0.5583544,2
1,0.0,pnl,0,stop,0.5450888,2
1,0.0,pnl,0,stop,0.5451029,2
1,0.6,pnl,1,go,0.5450842,1
2,1.0,bsl,1,go,0.5197893,1
2,1.0,bsl,1,go,0.5580613,1
2,1.0,bsl,1,go,0.465073,1
2,1.0,bsl,1,go,0.5051805,1
2,1.0,bsl,1,go,0.5184413,1
